国家,累计确诊,当前确诊
china,80982,14930
意大利,12462,10590
韩国,7869,7779
伊朗,10075,6370
西班牙,2968,2701
法国,2281,2221
德国,1567,1546
美国,1281,1237
瑞士,814,807
挪威,703,703
钻石公主号,697,650
日本,690,648
瑞典,635,634
丹麦,615,614
荷兰,614,609
英国,590,572
比利时,399,396
卡塔尔,263,263
奥地利,246,242
巴林,195,181
马来西亚,158,126
澳大利亚,129,111
加拿大,115,110
冰岛,109,109
以色列,100,97
新加坡,187,94
捷克,91,91
斯洛文尼亚,89,89
希腊,89,88
科威特,80,75
印度,74,71
阿联酋,85,68
芬兰,65,64
葡萄牙,59,59
埃及,67,58
巴西,54,54
圣马力诺,54,53
伊拉克,68,52
黎巴嫩,52,51
菲律宾,52,49
波兰,47,46
沙特阿拉伯,45,45
罗马尼亚,49,43
爱尔兰,43,42
泰国,70,34
印度尼西亚,34,33
巴勒斯坦,30,30
越南,44,28
俄罗斯,28,25
文莱,25,25
格鲁吉亚,24,24
哥斯达黎加,22,22
智利,22,22
巴基斯坦,21,20
克罗地亚,19,19
塞尔维亚,19,19
阿根廷,19,18
阿尔及利亚,25,16
南非,17,16
爱沙尼亚,16,15
阿尔巴尼亚,15,14
​圣马力诺,15,13
厄瓜多尔,13,13
匈牙利,13,13
阿塞拜疆,15,11
波黑,11,11
秘鲁,11,11
巴拿马,11,10
拉脱维亚,10,10
墨西哥,11,10
斯洛伐克,10,10
阿曼,18,9
白俄罗斯,12,9
北马其顿,9,9
哥伦比亚,9,9
阿富汗,7,7
保加利亚,7,7
卢森堡,7,7
突尼斯,7,7
马尔代夫,6,6
马耳他,6,6
塞浦路斯,6,6
新西兰,5,5
柬埔寨,5,4
摩洛哥,6,4
塞内加尔,4,4
亚美尼亚,4,4
古巴,3,3
立陶宛,3,3
孟加拉国,3,3
摩尔多瓦,3,3
巴拉圭,2,2
玻利维亚,2,2
布基纳法索,2,2
洪都拉斯,2,2
喀麦隆,2,2
摩纳哥,2,2
尼日利亚,2,2
斯里兰卡,3,2
不丹,1,1
多哥,1,1
多米尼加,1,1
梵蒂冈,1,1
刚果（金）,1,1
科特迪瓦,1,1
列支敦士登,1,1
蒙古,1,1
土耳其,1,1
乌克兰,1,1
牙买加,1,1
约旦,1,1
安道尔,1,0
尼泊尔,1,0
