省份,累计死亡,累计治愈,累计确诊
香港,4,397,1009
黑龙江,13,470,819
台湾,6,114,393
湖北,3221,64363,67803
上海,7,458,618
广东,8,1458,1564
内蒙古,1,91,190
北京,8,491,589
山西,0,135,173
澳门,0,13,45
浙江,1,1242,1267
福建,1,329,353
山东,7,759,784
天津,3,164,184
江苏,0,641,653
四川,3,548,560
河北,6,314,327
云南,2,175,184
辽宁,2,138,145
陕西,3,248,256
重庆,6,570,579
吉林,1,96,100
甘肃,2,135,139
安徽,6,984,991
湖南,4,1014,1019
贵州,2,144,147
江西,1,936,937
宁夏,0,75,75
西藏,0,1,1
新疆,3,73,76
河南,22,1254,1276
青海,0,18,18
广西,2,252,254
海南,6,162,168
